datetime,00060_Mean,00060_Mean_cd,site_no,00065_base gage_Mean,00065_base gage_Mean_cd
1999-10-01 00:00:00+00:00,16500.0,A,12396500,87.05,A
1999-10-02 00:00:00+00:00,19100.0,A,12396500,87.77,A
1999-10-03 00:00:00+00:00,18200.0,A,12396500,89.13,A
1999-10-04 00:00:00+00:00,18400.0,A,12396500,89.47,A
1999-10-05 00:00:00+00:00,18200.0,A,12396500,89.11,A
1999-10-06 00:00:00+00:00,17700.0,A,12396500,89.37,A
1999-10-07 00:00:00+00:00,17500.0,A,12396500,89.11,A
1999-10-08 00:00:00+00:00,17400.0,A,12396500,88.71,A
1999-10-09 00:00:00+00:00,17700.0,A,12396500,88.76,A
1999-10-10 00:00:00+00:00,17900.0,A,12396500,89.69,A
1999-10-11 00:00:00+00:00,18400.0,A,12396500,89.72,A
1999-10-12 00:00:00+00:00,19400.0,A,12396500,89.38,A
1999-10-13 00:00:00+00:00,20000.0,A,12396500,89.02,A
1999-10-14 00:00:00+00:00,22100.0,A,12396500,89.66,A
1999-10-15 00:00:00+00:00,22000.0,A,12396500,90.38,A
1999-10-16 00:00:00+00:00,22500.0,A,12396500,90.24,A
1999-10-17 00:00:00+00:00,21800.0,A,12396500,89.93,A
1999-10-18 00:00:00+00:00,22200.0,A,12396500,90.53,A
1999-10-19 00:00:00+00:00,21900.0,A,12396500,90.82,A
1999-10-20 00:00:00+00:00,20000.0,A,12396500,90.06,A
1999-10-21 00:00:00+00:00,15800.0,A,12396500,88.01,A
1999-10-22 00:00:00+00:00,12100.0,A,12396500,84.89,A
1999-10-23 00:00:00+00:00,10700.0,A,12396500,85.02,A
1999-10-24 00:00:00+00:00,8930.0,A,12396500,87.58,A
1999-10-25 00:00:00+00:00,9710.0,A,12396500,86.67,A
1999-10-26 00:00:00+00:00,13600.0,A,12396500,86.97,A
1999-10-27 00:00:00+00:00,15700.0,A,12396500,87.28,A
1999-10-28 00:00:00+00:00,17000.0,A,12396500,87.23,A
1999-10-29 00:00:00+00:00,17800.0,A,12396500,88.41,A
1999-10-30 00:00:00+00:00,17900.0,A,12396500,87.94,A
1999-10-31 00:00:00+00:00,17400.0,A,12396500,88.29,A
1999-11-01 00:00:00+00:00,17300.0,A,12396500,88.86,A
1999-11-02 00:00:00+00:00,19400.0,A,12396500,88.42,A
1999-11-03 00:00:00+00:00,25500.0,A,12396500,89.37,A
1999-11-04 00:00:00+00:00,28200.0,A,12396500,90.36,A
1999-11-05 00:00:00+00:00,28600.0,A,12396500,90.4,A
1999-11-06 00:00:00+00:00,28500.0,A,12396500,90.48,A
1999-11-07 00:00:00+00:00,28900.0,A,12396500,90.55,A
1999-11-08 00:00:00+00:00,27500.0,A,12396500,91.76,A
1999-11-09 00:00:00+00:00,25100.0,A,12396500,91.89,A
1999-11-10 00:00:00+00:00,24200.0,A,12396500,91.94,A
1999-11-11 00:00:00+00:00,22800.0,A,12396500,91.5,A
1999-11-12 00:00:00+00:00,18500.0,A,12396500,89.6,A
1999-11-13 00:00:00+00:00,16900.0,A,12396500,88.64,A
1999-11-14 00:00:00+00:00,21700.0,A,12396500,90.67,A
1999-11-15 00:00:00+00:00,23700.0,A,12396500,91.81,A
1999-11-16 00:00:00+00:00,24500.0,A,12396500,91.02,A
1999-11-17 00:00:00+00:00,24400.0,A,12396500,92.05,A
1999-11-18 00:00:00+00:00,23700.0,A,12396500,91.37,A
1999-11-19 00:00:00+00:00,25100.0,A,12396500,91.68,A
1999-11-20 00:00:00+00:00,21100.0,A,12396500,90.81,A
1999-11-21 00:00:00+00:00,15200.0,A,12396500,89.33,A
1999-11-22 00:00:00+00:00,17200.0,A,12396500,89.6,A
1999-11-23 00:00:00+00:00,18900.0,A,12396500,88.66,A
1999-11-24 00:00:00+00:00,22300.0,A,12396500,88.22,A
1999-11-25 00:00:00+00:00,25000.0,A,12396500,90.59,A
1999-11-26 00:00:00+00:00,26400.0,A,12396500,91.5,A
1999-11-27 00:00:00+00:00,27300.0,A,12396500,91.57,A
1999-11-28 00:00:00+00:00,25200.0,A,12396500,92.11,A
1999-11-29 00:00:00+00:00,20900.0,A,12396500,89.93,A
1999-11-30 00:00:00+00:00,20200.0,A,12396500,89.19,A
1999-12-01 00:00:00+00:00,25400.0,A,12396500,90.8,A
1999-12-02 00:00:00+00:00,27200.0,A,12396500,91.48,A
1999-12-03 00:00:00+00:00,27500.0,A,12396500,91.95,A
1999-12-04 00:00:00+00:00,25300.0,A,12396500,91.29,A
1999-12-05 00:00:00+00:00,20000.0,A,12396500,90.28,A
1999-12-06 00:00:00+00:00,17800.0,A,12396500,89.24,A
1999-12-07 00:00:00+00:00,17900.0,A,12396500,88.86,A
1999-12-08 00:00:00+00:00,19900.0,A,12396500,89.61,A
1999-12-09 00:00:00+00:00,20400.0,A,12396500,90.23,A
1999-12-10 00:00:00+00:00,22200.0,A,12396500,90.18,A
1999-12-11 00:00:00+00:00,25700.0,A,12396500,91.07,A
1999-12-12 00:00:00+00:00,25900.0,A,12396500,90.98,A
1999-12-13 00:00:00+00:00,26100.0,A,12396500,91.16,A
1999-12-14 00:00:00+00:00,25700.0,A,12396500,91.19,A
1999-12-15 00:00:00+00:00,24400.0,A,12396500,91.1,A
1999-12-16 00:00:00+00:00,24900.0,A,12396500,90.57,A
1999-12-17 00:00:00+00:00,25700.0,A,12396500,91.7,A
1999-12-18 00:00:00+00:00,26800.0,A,12396500,91.78,A
1999-12-19 00:00:00+00:00,25800.0,A,12396500,91.41,A
1999-12-20 00:00:00+00:00,22600.0,A,12396500,90.43,A
1999-12-21 00:00:00+00:00,22300.0,A,12396500,89.92,A
1999-12-22 00:00:00+00:00,22300.0,A,12396500,89.87,A
1999-12-23 00:00:00+00:00,22300.0,A,12396500,89.47,A
1999-12-24 00:00:00+00:00,21900.0,A,12396500,89.3,A
1999-12-25 00:00:00+00:00,21100.0,A,12396500,89.79,A
1999-12-26 00:00:00+00:00,21200.0,A,12396500,90.59,A
1999-12-27 00:00:00+00:00,21700.0,A,12396500,90.18,A
1999-12-28 00:00:00+00:00,22600.0,A,12396500,89.39,A
1999-12-29 00:00:00+00:00,23100.0,A,12396500,88.79,A
1999-12-30 00:00:00+00:00,22400.0,A,12396500,89.58,A
1999-12-31 00:00:00+00:00,21700.0,A,12396500,89.91,A
2000-01-01 00:00:00+00:00,19900.0,A,12396500,89.65,A
2000-01-02 00:00:00+00:00,18700.0,A,12396500,89.91,A
2000-01-03 00:00:00+00:00,18600.0,A,12396500,88.52,A
2000-01-04 00:00:00+00:00,18500.0,A,12396500,88.25,A
2000-01-05 00:00:00+00:00,18100.0,A,12396500,89.29,A
2000-01-06 00:00:00+00:00,19100.0,A,12396500,89.4,A
2000-01-07 00:00:00+00:00,19900.0,A,12396500,89.06,A
2000-01-08 00:00:00+00:00,19900.0,A,12396500,88.83,A
2000-01-09 00:00:00+00:00,19700.0,A,12396500,88.5,A
2000-01-10 00:00:00+00:00,19300.0,A,12396500,88.85,A
2000-01-11 00:00:00+00:00,20400.0,A,12396500,88.14,A
2000-01-12 00:00:00+00:00,20000.0,A,12396500,88.64,A
2000-01-13 00:00:00+00:00,19500.0,A,12396500,89.05,A
2000-01-14 00:00:00+00:00,20100.0,A,12396500,89.11,A
