datetime,00010_2_Mean,00010_2_Mean_cd,site_no,00060_Mean,00060_Mean_cd
1993-10-01 00:00:00+00:00,,,13010065,295.0,A
1993-10-02 00:00:00+00:00,,,13010065,290.0,A
1993-10-03 00:00:00+00:00,,,13010065,290.0,A
1993-10-04 00:00:00+00:00,,,13010065,290.0,A
1993-10-05 00:00:00+00:00,,,13010065,287.0,A
1993-10-06 00:00:00+00:00,,,13010065,294.0,A
1993-10-07 00:00:00+00:00,,,13010065,329.0,A
1993-10-08 00:00:00+00:00,,,13010065,374.0,A
1993-10-09 00:00:00+00:00,,,13010065,336.0,A
1993-10-10 00:00:00+00:00,,,13010065,328.0,A
1993-10-11 00:00:00+00:00,,,13010065,325.0,A
1993-10-12 00:00:00+00:00,,,13010065,321.0,A
1993-10-13 00:00:00+00:00,,,13010065,347.0,A
1993-10-14 00:00:00+00:00,,,13010065,407.0,A
1993-10-15 00:00:00+00:00,,,13010065,434.0,A
1993-10-16 00:00:00+00:00,,,13010065,425.0,A
1993-10-17 00:00:00+00:00,,,13010065,393.0,A
1993-10-18 00:00:00+00:00,,,13010065,365.0,A
1993-10-19 00:00:00+00:00,,,13010065,352.0,A
1993-10-20 00:00:00+00:00,,,13010065,333.0,A
1993-10-21 00:00:00+00:00,,,13010065,322.0,A
1993-10-22 00:00:00+00:00,,,13010065,330.0,A
1993-10-23 00:00:00+00:00,,,13010065,323.0,A
1993-10-24 00:00:00+00:00,,,13010065,319.0,A
1993-10-25 00:00:00+00:00,,,13010065,315.0,A
1993-10-26 00:00:00+00:00,,,13010065,303.0,A
1993-10-27 00:00:00+00:00,,,13010065,293.0,A
1993-10-28 00:00:00+00:00,,,13010065,299.0,A
1993-10-29 00:00:00+00:00,,,13010065,271.0,A
1993-10-30 00:00:00+00:00,,,13010065,264.0,A
1993-10-31 00:00:00+00:00,,,13010065,282.0,A
1993-11-01 00:00:00+00:00,,,13010065,294.0,A
1993-11-02 00:00:00+00:00,,,13010065,264.0,A
1993-11-03 00:00:00+00:00,,,13010065,275.0,A
1993-11-04 00:00:00+00:00,,,13010065,280.0,A
1993-11-05 00:00:00+00:00,,,13010065,265.0,A
1993-11-06 00:00:00+00:00,,,13010065,249.0,A
1993-11-07 00:00:00+00:00,,,13010065,259.0,A
1993-11-08 00:00:00+00:00,,,13010065,252.0,A
1993-11-09 00:00:00+00:00,,,13010065,243.0,A
1993-11-10 00:00:00+00:00,,,13010065,253.0,A
1993-11-11 00:00:00+00:00,,,13010065,242.0,A
1993-11-12 00:00:00+00:00,,,13010065,246.0,A
1993-11-13 00:00:00+00:00,,,13010065,242.0,A
1993-11-14 00:00:00+00:00,,,13010065,248.0,A
1993-11-15 00:00:00+00:00,,,13010065,227.0,A
1993-11-16 00:00:00+00:00,,,13010065,226.0,A
1993-11-17 00:00:00+00:00,,,13010065,227.0,A
1993-11-18 00:00:00+00:00,,,13010065,232.0,A
1993-11-19 00:00:00+00:00,,,13010065,226.0,A
1993-11-20 00:00:00+00:00,,,13010065,226.0,A
1993-11-21 00:00:00+00:00,,,13010065,242.0,A
